,Unnamed: 0,0,1
0,Ederson,40000000.0,17 août 1993 (29)
1,Stefan Ortega,9000000.0,6 nov. 1992 (30)
2,Zack Steffen,3500000.0,2 avr. 1995 (28)
3,Scott Carson,200000.0,3 sept. 1985 (37)
4,Rúben Dias,80000000.0,14 mai 1997 (26)
5,Nathan Aké,42000000.0,18 févr. 1995 (28)
6,John Stones,40000000.0,28 mai 1994 (29)
7,Manuel Akanji,38000000.0,19 juil. 1995 (27)
8,Aymeric Laporte,25000000.0,27 mai 1994 (29)
9,Luke Mbete,2000000.0,18 sept. 2003 (19)
10,Sergio Gómez,13000000.0,4 sept. 2000 (22)
11,Josh Wilson-Esbrand,1500000.0,26 déc. 2002 (20)
12,João Cancelo,50000000.0,27 mai 1994 (29)
13,Rico Lewis,20000000.0,21 nov. 2004 (18)
14,Kyle Walker,13000000.0,28 mai 1990 (33)
15,Rodri,90000000.0,22 juin 1996 (27)
16,Kalvin Phillips,32000000.0,2 déc. 1995 (27)
17,Máximo Perrone,10000000.0,7 janv. 2003 (20)
18,Claudio Gomes,1400000.0,23 juil. 2000 (22)
19,İlkay Gündoğan,20000000.0,24 oct. 1990 (32)
20,Bernardo Silva,80000000.0,10 août 1994 (28)
21,Kevin De Bruyne,70000000.0,28 juin 1991 (32)
22,Cole Palmer,15000000.0,6 mai 2002 (21)
23,Alex Robertson,50000.0,17 avr. 2003 (20)
24,Jack Grealish,75000000.0,10 sept. 1995 (27)
25,Phil Foden,110000000.0,28 mai 2000 (23)
26,Riyad Mahrez,20000000.0,21 févr. 1991 (32)
27,Ben Knight,300000.0,14 juin 2002 (21)
28,Julián Álvarez,60000000.0,31 janv. 2000 (23)
29,Erling Haaland,180000000.0,21 juil. 2000 (22)
30,Liam Delap,5000000.0,8 févr. 2003 (20)
31,Aaron Ramsdale,40000000.0,14 mai 1998 (25)
32,Matt Turner,8000000.0,24 juin 1994 (29)
33,Karl Hein,1500000.0,13 avr. 2002 (21)
34,William Saliba,65000000.0,24 mars 2001 (22)
35,Gabriel Magalhães,55000000.0,19 déc. 1997 (25)
36,Jakub Kiwior,25000000.0,15 févr. 2000 (23)
37,Auston Trusty,10000000.0,12 août 1998 (24)
38,Rob Holding,8000000.0,20 sept. 1995 (27)
39,Oleksandr Zinchenko,42000000.0,15 déc. 1996 (26)
40,Kieran Tierney,25000000.0,5 juin 1997 (26)
41,Lino Sousa,500000.0,19 janv. 2005 (18)
42,Ben White,55000000.0,8 oct. 1997 (25)
43,Takehiro Tomiyasu,25000000.0,5 nov. 1998 (24)
44,Cédric Soares,3000000.0,31 août 1991 (31)
45,Thomas Partey,35000000.0,13 juin 1993 (30)
46,Jorginho,25000000.0,20 déc. 1991 (31)
47,Granit Xhaka,20000000.0,27 sept. 1992 (30)
48,Mohamed Elneny,6000000.0,11 juil. 1992 (30)
49,Bradley Ibrahim,400000.0,21 oct. 2004 (18)
50,Albert Sambi Lokonga,15000000.0,22 oct. 1999 (23)
51,Ainsley Maitland-Niles,8000000.0,29 août 1997 (25)
52,Matt Smith,350000.0,5 oct. 2000 (22)
53,Cătălin Cîrjan,250000.0,1 déc. 2002 (20)
54,Martin Ødegaard,90000000.0,17 déc. 1998 (24)
55,Emile Smith Rowe,35000000.0,28 juil. 2000 (22)
56,Fábio Vieira,25000000.0,30 mai 2000 (23)
57,Gabriel Martinelli,80000000.0,18 juin 2001 (22)
58,Leandro Trossard,35000000.0,4 déc. 1994 (28)
59,Bukayo Saka,120000000.0,5 sept. 2001 (21)
60,Nicolas Pépé,18000000.0,29 mai 1995 (28)
61,Marquinhos,12000000.0,7 avr. 2003 (20)
62,Reiss Nelson,12000000.0,10 déc. 1999 (23)
63,Amario Cozier-Duberry,300000.0,29 mai 2005 (18)
64,Gabriel Jesus,75000000.0,3 avr. 1997 (26)
65,Eddie Nketiah,25000000.0,30 mai 1999 (24)
66,Khayon Edwards,300000.0,12 sept. 2003 (19)
67,Nathan Butler-Oyedeji,100000.0,4 janv. 2003 (20)
68,Kepa Arrizabalaga,18000000.0,3 oct. 1994 (28)
69,Edouard Mendy,12000000.0,1 mars 1992 (31)
70,Gabriel Slonina,9000000.0,15 mai 2004 (19)
71,Marcus Bettinelli,1500000.0,24 mai 1992 (31)
72,Lucas Bergström,250000.0,5 sept. 2002 (20)
73,Wesley Fofana,55000000.0,17 déc. 2000 (22)
74,Benoît Badiashile,40000000.0,26 mars 2001 (22)
75,Trevoh Chalobah,18000000.0,5 juil. 1999 (23)
76,Kalidou Koulibaly,15000000.0,20 juin 1991 (32)
77,Bashir Humphreys,3000000.0,15 mars 2003 (20)
78,Thiago Silva,2000000.0,22 sept. 1984 (38)
79,Ben Chilwell,35000000.0,21 déc. 1996 (26)
80,Marc Cucurella,35000000.0,22 juil. 1998 (24)
81,Lewis Hall,10000000.0,8 sept. 2004 (18)
82,Abdul Rahman Baba,1200000.0,2 juil. 1994 (28)
83,Reece James,65000000.0,8 déc. 1999 (23)
84,César Azpilicueta,5000000.0,28 août 1989 (33)
85,Jorginho,25000000.0,20 déc. 1991 (31)
86,Denis Zakaria,18000000.0,20 nov. 1996 (26)
87,N'Golo Kanté,15000000.0,29 mars 1991 (32)
88,Billy Gilmour,12000000.0,11 juin 2001 (22)
89,Ethan Ampadu,9000000.0,14 sept. 2000 (22)
90,Enzo Fernández,80000000.0,17 janv. 2001 (22)
91,Mateo Kovacic,38000000.0,6 mai 1994 (29)
92,Conor Gallagher,32000000.0,6 févr. 2000 (23)
93,Ruben Loftus-Cheek,25000000.0,23 janv. 1996 (27)
94,Carney Chukwuemeka,15000000.0,20 oct. 2003 (19)
95,Mason Mount,60000000.0,10 janv. 1999 (24)
96,Kai Havertz,55000000.0,11 juin 1999 (24)
97,Harvey Vale,2000000.0,11 sept. 2003 (19)
98,Omari Hutchinson,1000000.0,29 oct. 2003 (19)
99,Raheem Sterling,55000000.0,8 déc. 1994 (28)
100,João Félix,50000000.0,10 nov. 1999 (23)
101,Mykhaylo Mudryk,50000000.0,5 janv. 2001 (22)
102,Callum Hudson-Odoi,15000000.0,7 nov. 2000 (22)
103,Noni Madueke,30000000.0,10 mars 2002 (21)
104,Christian Pulisic,25000000.0,18 sept. 1998 (24)
105,Hakim Ziyech,16000000.0,19 mars 1993 (30)
106,Armando Broja,28000000.0,10 sept. 2001 (21)
107,David Datro Fofana,10000000.0,22 déc. 2002 (20)
108,Pierre-Emerick Aubameyang,4000000.0,18 juin 1989 (34)
109,Dean Henderson,18000000.0,12 mars 1997 (26)
110,David de Gea,13000000.0,7 nov. 1990 (32)
111,Matej Kovar,1800000.0,17 mai 2000 (23)
112,Martin Dúbravka,1500000.0,15 janv. 1989 (34)
113,Jack Butland,1500000.0,10 mars 1993 (30)
114,Tom Heaton,500000.0,15 avr. 1986 (37)
115,Nathan Bishop,300000.0,15 oct. 1999 (23)
116,Radek Vitek,150000.0,24 oct. 2003 (19)
117,Lisandro Martínez,50000000.0,18 janv. 1998 (25)
118,Raphaël Varane,35000000.0,25 avr. 1993 (30)
119,Harry Maguire,20000000.0,5 mars 1993 (30)
120,Victor Lindelöf,18000000.0,17 juil. 1994 (28)
121,Axel Tuanzebe,4500000.0,14 nov. 1997 (25)
122,Teden Mengi,2000000.0,30 avr. 2002 (21)
123,Phil Jones,1500000.0,21 févr. 1992 (31)
124,Tyler Fredricson,250000.0,23 févr. 2005 (18)
125,Luke Shaw,42000000.0,12 juil. 1995 (27)
126,Tyrell Malacia,22000000.0,17 août 1999 (23)
127,Brandon Williams,7000000.0,3 sept. 2000 (22)
128,Álvaro Carreras,7000000.0,23 mars 2003 (20)
129,Diogo Dalot,40000000.0,18 mars 1999 (24)
130,Aaron Wan-Bissaka,25000000.0,26 nov. 1997 (25)
131,Casemiro,40000000.0,23 févr. 1992 (31)
132,Scott McTominay,25000000.0,8 déc. 1996 (26)
133,James Garner,14000000.0,13 mars 2001 (22)
134,Christian Eriksen,22000000.0,14 févr. 1992 (31)
135,Marcel Sabitzer,20000000.0,17 mars 1994 (29)
136,Fred,20000000.0,5 mars 1993 (30)
137,Donny van de Beek,13000000.0,18 avr. 1997 (26)
138,Zidane Iqbal,1000000.0,27 avr. 2003 (20)
139,Kobbie Mainoo,800000.0,19 avr. 2005 (18)
140,Bruno Fernandes,75000000.0,8 sept. 1994 (28)
141,Hannibal,8000000.0,21 janv. 2003 (20)
142,Shola Shoretire,4000000.0,2 févr. 2004 (19)
143,Marcus Rashford,80000000.0,31 oct. 1997 (25)
144,Jadon Sancho,45000000.0,25 mars 2000 (23)
145,Alejandro Garnacho,25000000.0,1 juil. 2004 (18)
146,Anthony Elanga,18000000.0,27 avr. 2002 (21)
147,Antony,60000000.0,24 févr. 2000 (23)
148,Amad Diallo,18000000.0,11 juil. 2002 (20)
149,Facundo Pellistri,6000000.0,20 déc. 2001 (21)
150,Cristiano Ronaldo,15000000.0,5 févr. 1985 (38)
151,Anthony Martial,15000000.0,5 déc. 1995 (27)
152,Wout Weghorst,12000000.0,7 août 1992 (30)
153,Charlie McNeill,200000.0,9 sept. 2003 (19)
154,Alisson,35000000.0,2 oct. 1992 (30)
155,Caoimhín Kelleher,12000000.0,23 nov. 1998 (24)
156,Adrián,800000.0,3 janv. 1987 (36)
157,Harvey Davies,300000.0,3 sept. 2003 (19)
158,Ibrahima Konaté,38000000.0,25 mai 1999 (24)
159,Virgil van Dijk,35000000.0,8 juil. 1991 (31)
160,Joe Gomez,22000000.0,23 mai 1997 (26)
161,Joel Matip,12000000.0,8 août 1991 (31)
162,Sepp van den Berg,5000000.0,20 déc. 2001 (21)
163,Nathaniel Phillips,4000000.0,21 mars 1997 (26)
164,Rhys Williams,2000000.0,3 févr. 2001 (22)
165,Jarell Quansah,400000.0,29 janv. 2003 (20)
166,Andrew Robertson,40000000.0,11 mars 1994 (29)
167,Konstantinos Tsimikas,18000000.0,12 mai 1996 (27)
168,Luke Chambers,300000.0,24 juin 2004 (19)
169,Trent Alexander-Arnold,65000000.0,7 oct. 1998 (24)
170,Calvin Ramsay,5000000.0,31 juil. 2003 (19)
171,Fabinho,42000000.0,23 oct. 1993 (29)
172,Stefan Bajcetic,13000000.0,22 oct. 2004 (18)
173,Curtis Jones,22000000.0,30 janv. 2001 (22)
174,Thiago,15000000.0,11 avr. 1991 (32)
175,Arthur Melo,15000000.0,12 août 1996 (26)
176,Naby Keïta,12000000.0,10 févr. 1995 (28)
177,Jordan Henderson,10000000.0,17 juin 1990 (33)
178,Alex Oxlade-Chamberlain,7000000.0,15 août 1993 (29)
179,James Milner,1500000.0,4 janv. 1986 (37)
180,Bobby Clark,350000.0,7 févr. 2005 (18)
181,Jake Cain,200000.0,2 sept. 2001 (21)
182,Harvey Elliott,35000000.0,4 avr. 2003 (20)
183,Fábio Carvalho,16000000.0,30 août 2002 (20)
184,Luis Díaz,75000000.0,13 janv. 1997 (26)
185,Diogo Jota,50000000.0,4 déc. 1996 (26)
186,Mohamed Salah,65000000.0,15 juin 1992 (31)
187,Darwin Núñez,65000000.0,24 juin 1999 (24)
188,Cody Gakpo,55000000.0,7 mai 1999 (24)
189,Roberto Firmino,18000000.0,2 oct. 1991 (31)
190,Hugo Lloris,3000000.0,26 déc. 1986 (36)
191,Fraser Forster,1500000.0,17 mars 1988 (35)
192,Alfie Whiteman,500000.0,2 oct. 1998 (24)
193,Brandon Austin,300000.0,8 janv. 1999 (24)
194,Cristian Romero,60000000.0,27 avr. 1998 (25)
195,Eric Dier,18000000.0,15 janv. 1994 (29)
196,Davinson Sánchez,15000000.0,12 juin 1996 (27)
197,Clément Lenglet,10000000.0,17 juin 1995 (28)
198,Japhet Tanganga,7000000.0,31 mars 1999 (24)
199,Ben Davies,15000000.0,24 avr. 1993 (30)
200,Pedro Porro,40000000.0,13 sept. 1999 (23)
201,Emerson Royal,20000000.0,14 janv. 1999 (24)
202,Djed Spence,10000000.0,9 août 2000 (22)
203,Matt Doherty,5000000.0,16 janv. 1992 (31)
204,Pierre-Emile Højbjerg,45000000.0,5 août 1995 (27)
205,Oliver Skipp,15000000.0,16 sept. 2000 (22)
206,Harvey White,600000.0,19 sept. 2001 (21)
207,Rodrigo Bentancur,40000000.0,25 juin 1997 (26)
208,Yves Bissouma,18000000.0,30 août 1996 (26)
209,Pape Matar Sarr,15000000.0,14 sept. 2002 (20)
210,Ryan Sessegnon,18000000.0,18 mai 2000 (23)
211,Ivan Perisic,7000000.0,2 févr. 1989 (34)
212,Alfie Devine,900000.0,1 août 2004 (18)
213,Arnaut Danjuma,25000000.0,31 janv. 1997 (26)
214,Bryan Gil,15000000.0,11 févr. 2001 (22)
215,Dejan Kulusevski,50000000.0,25 avr. 2000 (23)
216,Lucas Moura,6000000.0,13 août 1992 (30)
217,Romaine Mundle,300000.0,24 avr. 2003 (20)
218,Harry Kane,90000000.0,28 juil. 1993 (29)
219,Heung-min Son,50000000.0,8 juil. 1992 (30)
220,Richarlison,48000000.0,10 mai 1997 (26)
221,Nick Pope,20000000.0,19 avr. 1992 (31)
222,Martin Dúbravka,1500000.0,15 janv. 1989 (34)
223,Loris Karius,1200000.0,22 juin 1993 (30)
224,Karl Darlow,1000000.0,8 oct. 1990 (32)
225,Mark Gillespie,300000.0,27 mars 1992 (31)
226,Sven Botman,45000000.0,12 janv. 2000 (23)
227,Fabian Schär,10000000.0,20 déc. 1991 (31)
228,Jamaal Lascelles,4500000.0,11 nov. 1993 (29)
229,Paul Dummett,1000000.0,26 sept. 1991 (31)
230,Federico Fernández,700000.0,21 févr. 1989 (34)
231,Ciaran Clark,600000.0,26 sept. 1989 (33)
232,Kell Watts,300000.0,3 nov. 1999 (23)
233,Matt Targett,13000000.0,18 sept. 1995 (27)
234,Dan Burn,10000000.0,9 mai 1992 (31)
235,Jamal Lewis,6000000.0,25 janv. 1998 (25)
236,Kieran Trippier,11000000.0,19 sept. 1990 (32)
237,Emil Krafth,3000000.0,2 août 1994 (28)
238,Javier Manquillo,2500000.0,5 mai 1994 (29)
239,Harrison Ashby,1000000.0,14 nov. 2001 (21)
240,Bruno Guimarães,70000000.0,16 nov. 1997 (25)
241,Isaac Hayden,3500000.0,22 mars 1995 (28)
242,Joelinton,42000000.0,14 août 1996 (26)
243,Joe Willock,38000000.0,20 août 1999 (23)
244,Sean Longstaff,25000000.0,30 oct. 1997 (25)
245,Jonjo Shelvey,5000000.0,27 févr. 1992 (31)
246,Jeff Hendrick,1500000.0,31 janv. 1992 (31)
247,Matty Longstaff,1000000.0,21 mars 2000 (23)
248,Matt Ritchie,1000000.0,10 sept. 1989 (33)
249,Elliot Anderson,8000000.0,6 nov. 2002 (20)
250,Anthony Gordon,35000000.0,24 févr. 2001 (22)
251,Allan Saint-Maximin,32000000.0,12 mars 1997 (26)
252,Ryan Fraser,6000000.0,24 févr. 1994 (29)
253,Miguel Almirón,32000000.0,10 févr. 1994 (29)
254,Jacob Murphy,15000000.0,24 févr. 1995 (28)
255,Alexander Isak,70000000.0,21 sept. 1999 (23)
256,Callum Wilson,16000000.0,27 févr. 1992 (31)
257,Chris Wood,8000000.0,7 déc. 1991 (31)
258,Robert Sánchez,22000000.0,18 nov. 1997 (25)
259,Jason Steele,4000000.0,18 août 1990 (32)
260,Tom McGill,600000.0,25 mars 2000 (23)
261,Levi Colwill,30000000.0,26 févr. 2003 (20)
262,Adam Webster,25000000.0,4 janv. 1995 (28)
263,Lewis Dunk,16000000.0,21 nov. 1991 (31)
264,Jan Paul van Hecke,5000000.0,8 juin 2000 (23)
265,Ed Turns,350000.0,18 oct. 2002 (20)
266,Antef Tsoungui,250000.0,30 déc. 2002 (20)
267,Odel Offiah,200000.0,26 oct. 2002 (20)
268,Pervis Estupiñán,32000000.0,21 janv. 1998 (25)
269,Haydon Roberts,700000.0,10 mai 2002 (21)
270,James Furlong,275000.0,7 juin 2002 (21)
271,Imari Samuels,150000.0,5 févr. 2003 (20)
272,Tariq Lamptey,12000000.0,30 sept. 2000 (22)
273,Joël Veltman,10000000.0,15 janv. 1992 (31)
274,Moisés Caicedo,75000000.0,2 nov. 2001 (21)
275,Billy Gilmour,12000000.0,11 juin 2001 (22)
276,Alexis Mac Allister,65000000.0,24 déc. 1998 (24)
277,Jakub Moder,10000000.0,7 avr. 1999 (24)
278,Pascal Groß,8000000.0,15 juin 1991 (32)
279,Yasin Ayari,6000000.0,6 oct. 2003 (19)
280,Steven Alzate,4000000.0,8 sept. 1998 (24)
281,Taylor Richards,400000.0,4 déc. 2000 (22)
282,Jack Spong,150000.0,4 févr. 2002 (21)
283,Jack Hinchy,100000.0,30 janv. 2003 (20)
284,Facundo Buonanotte,12000000.0,23 déc. 2004 (18)
285,Jeremy Sarmiento,5000000.0,16 juin 2002 (21)
286,Adam Lallana,1200000.0,10 mai 1988 (35)
287,Andy Moran,300000.0,15 oct. 2003 (19)
288,Cameron Peupion,125000.0,23 sept. 2002 (20)
289,Leandro Trossard,35000000.0,4 déc. 1994 (28)
290,Kaoru Mitoma,32000000.0,20 mai 1997 (26)
291,Solly March,22000000.0,20 juil. 1994 (28)
292,Julio Enciso,22000000.0,23 janv. 2004 (19)
293,Evan Ferguson,30000000.0,19 oct. 2004 (18)
294,Neal Maupay,10000000.0,14 août 1996 (26)
295,Deniz Undav,10000000.0,19 juil. 1996 (26)
296,Danny Welbeck,7000000.0,26 nov. 1990 (32)
297,Aaron Connolly,4000000.0,28 janv. 2000 (23)
298,Emiliano Martínez,28000000.0,2 sept. 1992 (30)
299,Robin Olsen,1500000.0,8 janv. 1990 (33)
300,Jed Steer,500000.0,23 sept. 1992 (30)
301,Viljami Sinisalo,500000.0,11 oct. 2001 (21)
302,Oliwier Zych,50000.0,28 juin 2004 (19)
303,Ezri Konsa,25000000.0,23 oct. 1997 (25)
304,Tyrone Mings,22000000.0,13 mars 1993 (30)
305,Diego Carlos,20000000.0,15 mars 1993 (30)
306,Jan Bednarek,14000000.0,12 avr. 1996 (27)
307,Kortney Hause,2200000.0,16 juil. 1995 (27)
308,Josh Feeney,300000.0,6 mai 2005 (18)
309,Sil Swinkels,150000.0,6 janv. 2004 (19)
310,Álex Moreno,15000000.0,8 juin 1993 (30)
311,Lucas Digne,15000000.0,20 juil. 1993 (29)
312,Ludwig Augustinsson,2500000.0,21 avr. 1994 (29)
313,Ashley Young,600000.0,9 juil. 1985 (37)
314,Matty Cash,25000000.0,7 août 1997 (25)
315,Calum Chambers,8000000.0,20 janv. 1995 (28)
316,Boubacar Kamara,30000000.0,23 nov. 1999 (23)
317,Leander Dendoncker,15000000.0,15 avr. 1995 (28)
318,Marvelous Nakamba,4000000.0,19 janv. 1994 (29)
319,Lamare Bogarde,450000.0,5 janv. 2004 (19)
320,Jacob Ramsey,42000000.0,28 mai 2001 (22)
321,Douglas Luiz,40000000.0,9 mai 1998 (25)
322,John McGinn,27000000.0,18 oct. 1994 (28)
323,Morgan Sanson,6000000.0,18 août 1994 (28)
324,Tim Iroegbunam,5000000.0,30 juin 2003 (20)
325,Philippe Coutinho,10000000.0,12 juin 1992 (31)
326,Leon Bailey,28000000.0,9 août 1997 (25)
327,Jaden Philogene,2800000.0,8 févr. 2002 (21)
328,Emiliano Buendía,28000000.0,25 déc. 1996 (26)
329,Bertrand Traoré,12000000.0,6 sept. 1995 (27)
330,Ollie Watkins,40000000.0,30 déc. 1995 (27)
331,Danny Ings,12000000.0,23 juil. 1992 (30)
332,Cameron Archer,12000000.0,9 déc. 2001 (21)
333,Jhon Durán,12000000.0,13 déc. 2003 (19)
334,Keinan Davis,3000000.0,13 févr. 1998 (25)
335,José Sá,18000000.0,17 janv. 1993 (30)
336,Matija Sarkic,2000000.0,23 juil. 1997 (25)
337,Daniel Bentley,2000000.0,13 juil. 1993 (29)
338,Louie Moulden,200000.0,6 janv. 2002 (21)
339,Jackson Smith,150000.0,14 oct. 2001 (21)
340,Max Kilman,30000000.0,23 mai 1997 (26)
341,Nathan Collins,22000000.0,30 avr. 2001 (22)
342,Conor Coady,12000000.0,25 févr. 1993 (30)
343,Toti,6000000.0,16 janv. 1999 (24)
344,Yerson Mosquera,3000000.0,2 mai 2001 (22)
345,Willy Boly,2500000.0,3 févr. 1991 (32)
346,Craig Dawson,2000000.0,6 mai 1990 (33)
347,Rayan Aït-Nouri,22000000.0,6 juin 2001 (22)
348,Jonny Otto,13000000.0,3 mars 1994 (29)
349,Hugo Bueno,6000000.0,18 sept. 2002 (20)
350,Nélson Semedo,15000000.0,16 nov. 1993 (29)
351,Ki-Jana Hoever,3500000.0,18 janv. 2002 (21)
352,Rúben Neves,40000000.0,13 mars 1997 (26)
353,Leander Dendoncker,15000000.0,15 avr. 1995 (28)
354,Mario Lemina,10000000.0,1 sept. 1993 (29)
355,Boubacar Traoré,5000000.0,20 août 2001 (21)
356,Joe Hodge,2000000.0,14 sept. 2002 (20)
357,Matheus Nunes,45000000.0,27 août 1998 (24)
358,João Gomes,18000000.0,12 févr. 2001 (22)
359,Luke Cundle,3000000.0,26 avr. 2002 (21)
360,João Moutinho,1500000.0,8 sept. 1986 (36)
361,Connor Ronan,800000.0,6 mars 1998 (25)
362,Morgan Gibbs-White,40000000.0,27 janv. 2000 (23)
363,Chem Campbell,1000000.0,30 déc. 2002 (20)
364,Gonçalo Guedes,23000000.0,29 nov. 1996 (26)
365,Chiquinho,2000000.0,5 févr. 2000 (23)
366,Pedro Neto,28000000.0,9 mars 2000 (23)
367,Daniel Podence,20000000.0,21 oct. 1995 (27)
368,Pablo Sarabia,14000000.0,11 mai 1992 (31)
369,Adama Traoré,10000000.0,25 janv. 1996 (27)
370,Matheus Cunha,25000000.0,27 mai 1999 (24)
371,Sasa Kalajdzic,15000000.0,7 juil. 1997 (25)
372,Hee-chan Hwang,12000000.0,26 janv. 1996 (27)
373,Raúl Jiménez,6000000.0,5 mai 1991 (32)
374,Diego Costa,2000000.0,7 oct. 1988 (34)
375,Danny Ward,6000000.0,22 juin 1993 (30)
376,Daniel Iversen,5000000.0,19 juil. 1997 (25)
377,Alex Smithies,500000.0,5 mars 1990 (33)
378,Wesley Fofana,55000000.0,17 déc. 2000 (22)
379,Wout Faes,20000000.0,3 avr. 1998 (25)
380,Çağlar Söyüncü,15000000.0,23 mai 1996 (27)
381,Harry Souttar,15000000.0,22 oct. 1998 (24)
382,Daniel Amartey,12000000.0,21 déc. 1994 (28)
383,Jannik Vestergaard,4000000.0,3 août 1992 (30)
384,Jonny Evans,2000000.0,3 janv. 1988 (35)
385,Lewis Brunt,100000.0,6 nov. 2000 (22)
386,Victor Kristiansen,12000000.0,16 déc. 2002 (20)
