,Attaquant,Milieu,Défenseur
Buts,0.21022605182083248,0.09815008968552728,0.029902434505688198
Passes décisives_x,0.11112489384050973,0.07399641257891007,0.038682091100073
Total des tirs ,2.3389816199889077,1.3984070262009758,0.6030149387339993
Shots on Target,0.6569642229197732,0.34728383091292536,0.12365076543556054
Cartons jaunes_x,0.07888116975576258,0.12515909439101705,0.1275764183757945
Cartons rouges_x,0.0012849320201645353,0.003255526853947868,0.003154542541259413
Touches_x,292.81314305442,645.705252137384,781.1991283420347
Tacles_x,1.02888831343982,2.3111088408623437,2.1288477630009437
Interceptions_x,0.3122517233555845,0.8989278334507309,1.2409400091687588
Balles contrées_x,0.7967068909704145,1.224979323285433,1.427362068044651
Actions menant à un tir,4.029253205165675,4.022701936158366,1.9536732895369333
Actions menant à un but,0.29699000018725663,0.21932963883684106,0.10989380263134467
Passes réussies_x,117.13100564759692,404.31787111183684,579.2552875446198
Passes tentées_x,186.8010982133962,526.5041437884364,700.8923847562712
% de passes réussies_x,354.03907255456977,244.4742714883412,197.18614144
Passes progressives_x,3.7818617878701386,9.98063078573886,8.76257783430362
Balle au pied_x,133.82708891201952,265.8894152853298,401.86866393161705
Possessions progressives_x,3.7471338618797394,2.1948554022750755,2.1033752492478057
Dribbles tentés_x,4.662911326965436,2.7206962578035894,1.4857243736536168
Dribbles réussis_x,1.3944703022931897,0.9982866700903139,0.5366216240274885
Distance totale des passes,28839.979214517538,124303.37264440289,203048.39679131005
Distance parcourue vers l'attaque avec les passes,2400.625258059767,10888.867041687396,28055.222049125743
Passes réussies (Court),44.23216404174642,101.89683667751348,125.42559841727643
Passes tentées (Court),54.821109839858366,117.61967646831343,140.25872749815292
% de passes réussies (Court),412.52269271094735,253.4670992171974,170.76615988876094
Passes réussies (Moyen),15.109491209337255,76.43255783182978,174.58832607844184
Passes tentées (Moyen),22.10407928671996,91.47191545053605,188.0989780839965
% de passes réussies (Moyen),762.8183625716164,386.84963284720925,289.32127286032824
Passes réussies (Long),1.7027418400867955,7.1025473919780575,10.060971131763072
Passes tentées (Long),5.147491884081751,14.555222681770621,22.526099180041477
% de passes réussies (Long),1526.0909036856306,1089.1719427372393,806.250297702371
Passes clés,1.2166888874381963,1.2633100701156204,0.6852533620635937
Passes dans le dernier tiers du terrain,1.37812269776547,7.962021298127259,9.044321322704693
Passes dans la surface de réparation,1.0244299510825758,1.0494317941046694,0.7738693023509409
Centres dans la surface de réparation,0.13328366033059996,0.13753548971735352,0.2226870582527729
Passes tentées,186.8010982133962,526.5041437884364,700.8923847562712
Live-ball Passes,160.50760877358206,478.7361968298767,639.0045128874468
Dead-ball Passes,3.577297506559413,7.261505765625181,22.700199120066223
Passe en profondeur,0.14087055282389674,0.22010847903836017,0.0778576706012213
Transversales,0.13988854197563574,0.3489693794970558,0.4266031974932792
Centres_x,4.2590023609849945,4.726509074195846,5.242081653136072
Throw-ins Taken,0.4491694031821828,1.1480283852545319,17.234404139182647
Passes réussies,117.13100564759692,404.31787111183684,579.2552875446198
Passes hors-jeux,0.09538499387691614,0.12711527012782967,0.14098051193718958
Passes bloquées_x,0.9492173553553989,0.8888409897678785,1.012045609566665
Tacles réussis_x,0.5268217144407219,1.0910816314616771,1.064005223076786
Tacles (ZDéf),0.3461039919692783,0.8226126803156195,1.1948822276300093
Tacles (MilTer),0.3339664537562588,0.8344114463209968,0.5403007414009506
Tacles (ZOff),0.21137690397802333,0.22830352557615508,0.128729537200235
Dribbleurs taclés,0.3148530382279691,0.7687512094137058,0.9862844162260321
Dribbles mis en échec,1.1147677071546815,2.1104272130752104,2.080904210396304
% of Dribblers Tackled,1769.7475669368596,1653.1518023313183,1638.135808584563
Tacles manqués,0.6357342905421658,0.9910504867436404,0.7175159312743686
Tirs bloqués,0.07033771675856551,0.2101672835849556,0.6805466538482082
Tcl+Int,1.5743922359482805,3.9956789296647957,3.894173999448094
Dégagements,0.6128436714666774,1.3086871982762838,6.1907836172977975
Erreurs,0.0028864414945725075,0.016327492488670402,0.03661160960672258
Touches (SurfRépDéf),0.9669272775032094,3.2768756543428212,23.34014140083943
Touches (ZDéf),8.635372605973528,46.26771300275679,198.6784018291896
Touches (MilTer),51.12248888642433,241.85026480418688,272.75058723450655
Touches (ZOff),108.4530492357603,91.79943431294484,82.63770656133721
Touches (SurfRépOff),7.733511513332307,3.115660770308742,1.7575719452678524
Touches (Ballon vivant),292.44152581642584,645.3207651110408,781.1991283420347
% de dribbles réussis,1332.4081116404325,1675.3358685210044,1842.648362792312
Nombre de fois où le joueur a été taclé,1.3705523583416763,0.7835001299425203,0.41381812031547643
Pourcentage de tacles subis lors des tentatives de franchissement,1392.3579187784978,1605.5798991549077,1730.4762911533242
Distance totale parcourue avec le ballon,7020.014953836075,7698.584774307475,12718.771201363297
Distance parcourue vers l'attaque en portant la balle,2150.1650696920437,2338.2465585975574,5662.841499467567
Chevauchées dans le dernier tiers,1.6317442765951702,1.5939194012627984,1.3773382977042494
Chevauchées dans la surface de réparation,1.2620339522077708,0.391528221826254,0.18247380394434654
Mauvais contrôle,2.515244083803639,1.403670216848433,0.8012393402054515
Perte de balle,1.5394104272543805,1.0703731350581362,0.3982690630062846
Passes reçues,169.19602362164403,377.26348846326744,496.8523738071712
Passes progressives reçues,16.985484096069463,7.846822883159302,7.510368263632966
Deuxième carton jaune,0.00032154337509431393,0.0016304304342273043,0.0013168267861275794
Fautes commises,0.900251927372166,1.0603615602466565,0.8398643351982409
Fautes provoquées,1.3153727011536764,1.1059537529088899,0.7185880306530292
Hors-jeux,0.3473438168750474,0.07343367404844886,0.05168101788798092
Interceptions,0.3122517233555845,0.8989278334507309,1.2409400091687588
Pénaltys concédés,0.002566553426428485,0.005144731075286948,0.01608288157168545
But contre son camp,0.0,0.001901650255188145,0.009154223748865027
Récupérations de balle,4.784535418964914,9.907527227921552,8.406346736522814
Aerials Won,1.572689338923167,1.0349304607492096,2.6461420417623596
Aerials Lost,2.5904978552912037,1.1672522476203624,1.3782468977549893
% of Aerials Won,1327.4778909619952,1656.1096918363482,1285.027238384234
